Noun;Count;Relative_Frequency;Corpus
convention;9;0.05%;ICE-HK
degree;9;0.05%;ICE-HK
Developments;9;0.05%;ICE-HK
diagram;9;0.05%;ICE-HK
doors;9;0.05%;ICE-HK
Dragon;9;0.05%;ICE-HK
Dreams;9;0.05%;ICE-HK
drug;9;0.05%;ICE-HK
efforts;9;0.05%;ICE-HK
event;9;0.05%;ICE-HK
examples;9;0.05%;ICE-HK
existence;9;0.05%;ICE-HK
experience;9;0.05%;ICE-HK
extent;9;0.05%;ICE-HK
file;9;0.05%;ICE-HK
IC;9;0.05%;ICE-HK
images;9;0.05%;ICE-HK
indications;9;0.05%;ICE-HK
man;9;0.05%;ICE-HK
matters;9;0.05%;ICE-HK
memory;9;0.05%;ICE-HK
mis;9;0.05%;ICE-HK
missionary-translators;9;0.05%;ICE-HK
modulation;9;0.05%;ICE-HK
months;9;0.05%;ICE-HK
papers;9;0.05%;ICE-HK
parents;9;0.05%;ICE-HK
perspective;9;0.05%;ICE-HK
plants;9;0.05%;ICE-HK
play;9;0.05%;ICE-HK
Poems;9;0.05%;ICE-HK
practices;9;0.05%;ICE-HK
prevention;9;0.05%;ICE-HK
procedures;9;0.05%;ICE-HK
progress;9;0.05%;ICE-HK
propulsion;9;0.05%;ICE-HK
reasons;9;0.05%;ICE-HK
reports;9;0.05%;ICE-HK
response;9;0.05%;ICE-HK
scene;9;0.05%;ICE-HK
snubber;9;0.05%;ICE-HK
soil;9;0.05%;ICE-HK
spaces;9;0.05%;ICE-HK
staff;9;0.05%;ICE-HK
steel;9;0.05%;ICE-HK
subjects;9;0.05%;ICE-HK
switch;9;0.05%;ICE-HK
switching;9;0.05%;ICE-HK
target;9;0.05%;ICE-HK
variety;9;0.05%;ICE-HK
volume;9;0.05%;ICE-HK
ways;9;0.05%;ICE-HK
Welfare;9;0.05%;ICE-HK
zero;9;0.05%;ICE-HK
abscess;8;0.04%;ICE-HK
advice;8;0.04%;ICE-HK
aspect;8;0.04%;ICE-HK
basis;8;0.04%;ICE-HK
celebration;8;0.04%;ICE-HK
centers;8;0.04%;ICE-HK
centre;8;0.04%;ICE-HK
choice;8;0.04%;ICE-HK
cities;8;0.04%;ICE-HK
Committee;8;0.04%;ICE-HK
competitiveness;8;0.04%;ICE-HK
completion;8;0.04%;ICE-HK
concerns;8;0.04%;ICE-HK
concrete;8;0.04%;ICE-HK
consideration;8;0.04%;ICE-HK
contrast;8;0.04%;ICE-HK
converter;8;0.04%;ICE-HK
delivery;8;0.04%;ICE-HK
density;8;0.04%;ICE-HK
diameter;8;0.04%;ICE-HK
difficulties;8;0.04%;ICE-HK
direction;8;0.04%;ICE-HK
directions;8;0.04%;ICE-HK
distribution;8;0.04%;ICE-HK
district;8;0.04%;ICE-HK
drain;8;0.04%;ICE-HK
drive;8;0.04%;ICE-HK
economy;8;0.04%;ICE-HK
electronics;8;0.04%;ICE-HK
elements;8;0.04%;ICE-HK
equipment;8;0.04%;ICE-HK
error;8;0.04%;ICE-HK
establishment;8;0.04%;ICE-HK
eyes;8;0.04%;ICE-HK
Festivals;8;0.04%;ICE-HK
Fig.;8;0.04%;ICE-HK
foot;8;0.04%;ICE-HK
frequency;8;0.04%;ICE-HK
generation;8;0.04%;ICE-HK
gut;8;0.04%;ICE-HK
heart;8;0.04%;ICE-HK
image;8;0.04%;ICE-HK
imaging;8;0.04%;ICE-HK
indicators;8;0.04%;ICE-HK
involvement;8;0.04%;ICE-HK
Ir;8;0.04%;ICE-HK
iron;8;0.04%;ICE-HK
job;8;0.04%;ICE-HK
lack;8;0.04%;ICE-HK
lantern-culture;8;0.04%;ICE-HK
law;8;0.04%;ICE-HK
losses;8;0.04%;ICE-HK
motor;8;0.04%;ICE-HK
needs;8;0.04%;ICE-HK
objectives;8;0.04%;ICE-HK
officials;8;0.04%;ICE-HK
ones;8;0.04%;ICE-HK
opinion;8;0.04%;ICE-HK
peak;8;0.04%;ICE-HK
physicians;8;0.04%;ICE-HK
poisons;8;0.04%;ICE-HK
presence;8;0.04%;ICE-HK
presentation;8;0.04%;ICE-HK
purpose;8;0.04%;ICE-HK
purposes;8;0.04%;ICE-HK
River;8;0.04%;ICE-HK
room;8;0.04%;ICE-HK
screening;8;0.04%;ICE-HK
setting;8;0.04%;ICE-HK
signs;8;0.04%;ICE-HK
sites;8;0.04%;ICE-HK
slope;8;0.04%;ICE-HK
source;8;0.04%;ICE-HK
span;8;0.04%;ICE-HK
speed;8;0.04%;ICE-HK
standards;8;0.04%;ICE-HK
statistics;8;0.04%;ICE-HK
Syndrome;8;0.04%;ICE-HK
teaching;8;0.04%;ICE-HK
telephone;8;0.04%;ICE-HK
tissue;8;0.04%;ICE-HK
trade;8;0.04%;ICE-HK
units;8;0.04%;ICE-HK
Vehicles;8;0.04%;ICE-HK
Vol.;8;0.04%;ICE-HK
woman;8;0.04%;ICE-HK
women;8;0.04%;ICE-HK
advantage;7;0.04%;ICE-HK
agents;7;0.04%;ICE-HK
alternative;7;0.04%;ICE-HK
amount;7;0.04%;ICE-HK
antevenene;7;0.04%;ICE-HK
Association;7;0.04%;ICE-HK
Award;7;0.04%;ICE-HK
background;7;0.04%;ICE-HK
BMI;7;0.04%;ICE-HK
capacity;7;0.04%;ICE-HK
capital;7;0.04%;ICE-HK
code;7;0.04%;ICE-HK
colony;7;0.04%;ICE-HK
corporation;7;0.04%;ICE-HK
cyberpunk;7;0.04%;ICE-HK
cyst;7;0.04%;ICE-HK
Delta;7;0.04%;ICE-HK
demand;7;0.04%;ICE-HK
description;7;0.04%;ICE-HK
division;7;0.04%;ICE-HK
expenditures;7;0.04%;ICE-HK
expenses;7;0.04%;ICE-HK
film;7;0.04%;ICE-HK
